	Molecule Type	Target genes	count	z-score	Direction
ATF4	transcription regulator	AARS, ABCG2, APBA3, APEX1, AREG, ASNS, ATF3, ATF4, ATF5, BCAT1, BGLAP, CA9, CALR, CANX, CCL2, CDKN1A, CDKN1B, CDKN2A, CEBPB, CEBPG, CHAC1, CPOX, CSN2, CTH, CTNNB1, CXCR5, DDIT3, DDIT4, DDR2, EDN1, EIF2S2, EIF4EBP1, FASN, FGF21, FUT7, FYN, GARS, GCH1, GDF15, GHITM, GYS1, HERPUD1, HSP90B1, HSPA5, IBSP, IGFBP2, IGFBP5, IHH, IL6, JAG1, JUNMAP1LC3B, MCL1, MED13L, MID1IP1, MRPS7, MT2A, MTHFD2, NARS, NDRG1, NID2, NR1H3, OSMR, PARK2, PCK2, PENK, PHGDH, PMP22, PPARG, PPP1R15A, PRKDC, PRRX2, PSAT1, PSEN1, PSPH, PTGS2, PTX3, PYCR1, RBPJ, SARS, SEL1L, SERPINF1, SHMT2, SIGMAR1, SLC1A5, SLC38A2, SLC38A3, SLC3A2, SLC6A9, SLC7A1, SLC7A3, SLC7A5, SNAI2, SREBF1, SSBP2, SST, STAT3, STC2, TNFRSF10B, TNFRSF11A, TNFRSF11B, TNFRSF12A, TNFSF11AARS	102.0	5.6995000000000005	induced
ATRA	chemical - endogenous mammalian	A2M, AATK, ABCA1, ABCE1, ABCG1, ABHD2, ABI3BP, ABLIM1, ACACB, ACKR2, ACOX1, ACSL1, ACSS2, ADA, ADAM10, ADAM11, ADAMTS5, ADAR, ADCYAP1R1, ADD3, ADGRE1, ADGRE2, ADGRE3, ADM, AFF2, AFP, AGO1, AGT, AGTR1, AHNAK, AHR, AICDA, AIMP1, AKAP12, AKR1A1, AKT1, ALAS1, ALDH1A1, ALDH1A2, ALDH1A3, ALDH3A1, ALDH9A1, ALK, ALOX5, ALPL, AMICA1, ANGPTL4, ANPEP, ANXA1, ANXA2, ANXA5, ANXA6, ANXA8/ANXA8L1, AP1S2, APBA2, APBB1IP, APCDD1, APEX1, APLN, APLNR, APOA2, APOC3, APOD, APOE, APP, AQP1, AQP9, AREG, ARG1, ARHGAP1, ARHGAP29, ARHGEF1, ASB2, ASCL1, ASNS, ATF4, ATOH8, ATP1B3, ATP2A2, ATP2A3, ATP6V1B2, B3GALT1, B3GALT5, BAMBI, BCL2, BCL2A1, BCL3, BCL6, BCO1, BGLAP, BHLHE40, BHMT, BID, BIRC2, BIRC3, BIRC5, BLZF1, BMP2, BMP4, BMP6, BMPR1A, BMPR1B, BMPR2, BNIP3, BNIP3L, BPI, BPIFA1, BRCA1, BTC, BTG1, BTG2, C12orf29, C1QA, C2orf57, C3, C3AR1, C5AR1, CA2, CA8, CACNA1C, CACNA1S, CACNG5, CAD, CALB1, CALCB, CALCR, CALM1 (includes others), CALML3, CALR, CAMKK2, CAPN2, CAPN7, CASP1, CASP2, CASP3, CASP6, CASP7, CASP9, CBFB, CBR1, CBS/LOC102724560, CCDC169, CCK, CCL19, CCL2, CCL20, CCL22, CCL24, CCL3, CCL4, CCL4L1/CCL4L2, CCNA1, CCNA2, CCNB1, CCND1, CCND2, CCND3, CCNE1, CCNG1, CCPG1, CCR1, CCR5, CCR9, CCRL2, CCT5, CD101, CD14, CD1C, CD1D, CD300C, CD34, CD36, CD38, CD44, CD52, CD53, CD63, CD68, CD70, CD74, CD82, CD86, CD93, CDC20, CDC42, CDCA7, CDH1, CDH5, CDH6, CDK2, CDK4, CDK5, CDK5R1, CDK6, CDKN1A, CDKN1B, CDKN2A, CDKN2B, CDKN2C, CDKN2D, CDKN3, CDX1, CDX2, CEACAM1, CEACAM6, CEBPA, CEBPB, CEBPE, CEBPG, CEBPZ, CES1, CFP, CFTR, CGA, CGB (includes others), CGGBP1, CHGB, CHL1, CHN2, CHRM2, CHST10, CIDEA, CITED2, CKS2, CLC, CLDN1, CLDN10, CLDN11, CLEC11A, CLPS, CLTC, CNR1, COL1A1, COL1A2, COL2A1, COL3A1, COL4A1, COL4A2, COL4A5, COL9A2, COTL1, COX11, CP, CPA1, CPE, CPT1A, CPT1B, CRABP1, CRABP2, CRAT, CREG1, CREM, CRH, CSE1L, CSF1R, CSF2, CSF3, CSF3R, CSH1/CSH2, CSHL1, CSNK1A1, CSRNP1, CTGF, CTLA4, CTSB, CTSC, CTSD, CTSK, CTSL, CTSS, CUBN, CX3CR1, CXCL10, CXCL8, CXCR4, CXCR5, CYBB, CYP11A1, CYP11B2, CYP17A1, CYP1A1, CYP1A2, CYP21A2, CYP26A1, CYP26B1, CYP2B6, CYP2C18, CYP2C9, CYP2R1, CYP2S1, CYP2U1, CYP2W1, CYP4A11, CYP4B1, CYP4F11, CYP4F2, CYP4F3, CYP7A1, CYR61, DAAM2, DAB2, DAD1, DAP3, DAPK2, DAZL, DBH, DBI, DCN, DCSTAMP, DCX, DDAH2, DDB2, DDIT3, DDX10, DDX18, DDX4, DDX42, DDX58, DDX60, DDX60L, DEFA1 (includes others), DEFA4, DGAT1, DHPS, DHRS3, DHRS9, DHX15, DHX33, DHX58, DIO2, DIO3, DLC1, DLGAP5, DLL1, DLL4, DMC1, DNAAF2, DNMT1, DPP4, DPPA3, DPYSL3, DPYSL5, DRD2, DSC1, DSG1, DSP, DTL, DUSP1, DUSP4, DYNLL1, E2F4, E2F5, EBI3, ECE1, ECI2, EDN1, EEF1A1, EEF1D, EEF1G, EFNB1, EFS, EGFR, EGR1, EHD1, EIF2AK2, EIF3B, EIF3C, EIF4A1, EIF4E, EIF4EBP1, EIF4EBP2, EIF4G1, EIF5, EIF5B, EIF6, ELAVL3, ELF3, ELF4, ELK4, ELN, EMP3, ENPP2, EP300, EPCAM, EPHA1, EPHX1, EPO, ERCC1, ERCC3, ERRFI1, ETS1, ETV1, ETV6, EYA2, F3, FABP4, FABP5, FAM101B, FAM153A/FAM153B, FAM186A, FAM86C1, FAM90A1, FARSB, FASTK, FCAR, FCER1G, FERMT1, FFAR2, FFAR3, FGF19, FGF2, FGF3, FGF4, FGF8, FGFR1, FGFR4, FGR, FLRT1, FN1, FOLR2, FOS, FOSL1, FOSL2, FOXA1, FOXC1, FOXD3, FOXO3, FOXP3, FRAT2, FST, FUBP3, FUT4, G0S2, GAD2, GAP43, GARS, GAS2, GAS7, GATA2, GATA4, GATA6, GBP4, GBX2, GCA, GCK, GDE1, GDF15, GDF2, GDF3, GDF9, GFAP, GFM1, GFRA1, GGT1, GHR, GHRHR, GIMAP2, GIMAP6, GJA1, GJB1, GJB5, GLI1, GLI2, GM2A, GMNN, GNA12, GNA13, GNAO1, GNAS, GPR158, GPR21, GPRC5A, GPX1, GPX2, GRASP, GRB10, GRB2, GREM1, GRIK2, GRIN1, GSPT2, GSTA5, GSTP1, GTPBP10, GZMA, HADHA, HAS2, HBEGF, HDAC1, HDGF, HES1, HES2, HEY1, HEY2, HGS, HIP1, HIVEP3, HK1, HK3, HLA-A, HLA-B, HLA-C, HLA-DMB, HMCES, HMGA1, HMGCS2, HMOX1, HNF1A, HNF4A, HNRNPC, HNRNPD, HNRNPF, HNRNPK, HOXA1, HOXA11, HOXA2, HOXA3, HOXA4, HOXA5, HOXA9, HOXB1, HOXB13, HOXB2, HOXB3, HOXB4, HOXB5, HOXB6, HOXB7, HOXB8, HOXB9, HOXC12, HOXC5, HOXC9, HOXD1, HOXD12, HOXD13, HOXD4, HPRT1, HS3ST1, HSD11B1, HSD17B1, HSD17B11, HSD17B3, HSD17B6, HSF4, HSPA2, HSPB1, HSPBP1, HSPD1, HTT, HUS1, ICAM1, ICAM3, ID1, ID2, ID3, IDE, IER3, IFI16, IFI27, IFI35, IFI44, IFI44L, IFI6, IFIH1, IFIT1, IFIT2, IFIT3, IFIT5, IFITM1, IFNA4, IFNG, IFNGR1, IGF1, IGF1R, IGF2, IGFBP2, IGFBP3, IGFBP4, IGFBP5, IGFBP6, IGFBP7, IKZF1, IL10, IL10RA, IL12B, IL16, IL17A, IL1A, IL1B, IL1R1, IL2, IL23R, IL6, IL6R, IL6ST, IL9, ILF3, IMPDH2, INHBA, INMT, IQCK, IRF1, IRF4, IRF9, IRS1, ISG15, ISLR, ITGA1, ITGA2, ITGA2B, ITGA4, ITGA6, ITGAE, ITGAL, ITGAM, ITGAX, ITGB1, ITGB2, ITGB3, ITGB7, ITM2B, ITPR2, IVD, IVL, JAK1, JAK2, JCHAIN, JUN, KANSL3CES1, KANSL3, KCNE4, KCNJ2, KCNJ5, KCNQ5, KCTD11, KDR, KIAA0513, KIF11, KIF1B, KIF23, KIF3C, KIT, KITLG, KLF1, KLF13, KLF15, KLF5, KLF9, KLK3, KRBOX4, KRT1, KRT14, KRT15, KRT16, KRT18, KRT19, KRT31, KRT5, KRT7, KRT72, LAMA4, LAMB1, LAMP2, LAP3, LATS2, LBP, LEFTY1, LEFTY2, LEPR, LGALS1, LGALS3BP, LGALS9, LILRA5, LILRB2, LIMK1, LIPA, LIPE, LOXL2, LRAT, LRP2, LRRC25, LRRC32, LRRK2, LSP1, LTC4S, LTF, LY6E, LYN, LYPD1, M6PR, MAD1L1, MAFB, MAG, MALL, MAOB, MAP1B, MAP2, MAP2K1, MAP2K3, MAP2K5, MAP3K11, MAP7, MAPK10, MAPK6, MAPK8, MAPK8IP3, MAPK9, MAPKAPK2, MARCKSL1, MC1R, MDK, MDM2, MDN1, MECOM, MEF2C, MEF2D, MEIS1, MEIS2, MEOX1, MERTK, METTL7A, MFNG, MGP, MGST3, MIA, MID1, MLF2, MLH1, MLLT4, MLN, MMP1, MMP11, MMP13, MMP14, MMP19, MMP28, MMP3, MMP7, MMP8, MMP9, MNAT1, MNDA, MOK, MORC2, MPO, MPP6, MRAS, MS4A1, MS4A3, MSC, MSH3, MSI1, MSLN, MST1, MT1L, MT2A, MTHFD2, MUC2, MUC20, MUC4, MUC5AC, MUC5B, MXD4, MYB, MYBL2, MYC, MYCN, MYH7, MYH9, MYL2, MYO1C, MYO9A, MYOCD, MYOD1, MYOG, NAA10, NAE1, NAGPA, NAT2, NAV2, NCAM1, NCF1, NCF2, NCL, NCOA2, NCOA3, NDRG1, NDUFA13, NDUFAF4, NDUFB7, NDUFV1, NEFH, NEFM, NES, NEU4, NEUROD1, NEUROD6, NEUROG2, NFATC1, NFATC3, NFE2, NFKB1, NFKBIB, NID2, NKX2-2, NKX2-3, NKX2-5, NKX6-1, NLN, NLRC4, NME2, NME3, NMI, NODAL, NOS2, NOSTRIN, NOTCH1, NOV, NPC2, NPHS1, NPHS2, NPM1, NPPA, NR0B2, NR2C1, NR2C2, NR2F1, NR2F2, NR3C1, NRG3, NRGN, NRIP1, NRP1, NTHL1, NTRK1, NTRK2, NTRK3, NUMB, OAS1, OAS2, OAS3, OASL, OATFUBP3, OAT, OCLN, ODC1, OGN, OLFM4, OLIG1, OLIG2, OPRK1, OPTN, ORC3, OSCAR, OTUD6B, OTX2, OXT, P2RY11, P2RY2, P4HA2, PADI4, PAK1, PALLD, PAM, PAPPA2, PARP14, PARP9, PAX3, PAX6, PAX7, PCK1, PDCD4, PDE1B, PDGFB, PDGFRA, PDGFRB, PDIA2, PDLIM4, PDPK1, PDX1, PDYN, PEG10, PENK, PEX1, PFN1, PGA5 (includes others), PGD, PHLDA1, PIK3C3, PIK3CG, PIM1, PITX2, PKP2, PLA2G15, PLA2G7, PLAT, PLAU, PLAUR, PLCB2, PLCE1, PLEK, PLEKHB1, PLEKHO2, PLGLB1/PLGLB2, PLIN2, PLK2, PLK3, PLOD3, PLP1, PLS3, PLSCR1, PMAIP1, PMF1/PMF1-BGLAP, PML, PNLIPRP2, PNP, PNRC1, POMC, POR, POSTN, POU2F1, POU5F1, PPARA, PPARD, PPARG, PPM1G, PPP1R16B, PPP1R1B, PPP2CA, PPP2R5B, PPP2R5D, PPP3CA, PRAM1, PRDX2, PRG2, PRKCA, PRKCB, PRKCD, PRKCDBP, PRKCH, PRL, PRMT1, PRNP, PROM1, PRTN3, PSMB10, PSMB8, PSMB9, PSMC4, PTAFR, PTCH1, PTEN, PTF1A, PTGDS, PTGES, PTGIS, PTGS1, PTGS2, PTHLH, PTK2B, PTMA, PTP4A3, PTPN11, PTPN22, PTPRC, PTPRU, PTPRZ1, PTX3, PVRL3, PYCR2, RABGGTB, RAD23B, RAE1, RAI14, RALA, RALB, RAN, RAP2A, RARA, RARB, RARG, RARRES1, RARRES2, RARRES3, RB1, RBL1, RBL2, RBP1, RBP2, RBPJ, RCBTB2, REC8, REL, RELA, REN, RET, RFC2, RFC4, RGS5, RHOA, RLBP1, RNASE1, RNF10, RNF2, RNF213, ROR1, RORC, RPA1, RPF2, RPL10, RPL11, RPL13, RPL3, RPL4, RPL5, RPL6, RPL7, RPS12, RPS14, RPS16, RPS17, RPS19, RPS20, RPS3, RPS4Y1, RPS6, RPS7LRRK2, RPS7, RTKN2, RTP4, RUNX2, RUNX3, RUVBL1, RUVBL2, RXRA, RXRB, RXRG, S100A10, S100A8, S100A9, S100B, SACS, SAMD9L, SAMHD1, SCAF11, SCD, SCMH1, SCML1, SCPEP1, SDCBP, SELL, SELP, SEMA5B, SEMA6B, SEMA7A, SEPHS1, SERPINB2, SERPINB5, SERPINB8, SERPINB9, SERPINE1, SERPINE2, SERPING1, SETD5, SFRP1, SFTPA1, SFTPB, SFTPC, SH3BP1, SHANK2, SHKBP1, SHROOM1, SIGLEC12, SIRPA, SIX1, SKP2, SLA, SLAMF7, SLC12A2, SLC16A1, SLC16A13, SLC18A3, SLC25A15, SLC25A20, SLC25A36, SLC27A2, SLC2A4, SLC38A2, SLC5A3, SLC5A5, SLC6A6, SLC7A2, SLC9B2, SLCO2A1, SLFN5, SLPI, SMAD3, SMAD4, SMAD5, SMAD7, SMAD9, SMARCA4, SMOX, SMPD1, SMPD3, SMYD5, SNRPD3, SNRPE, SNX19, SNX8, SOAT1, SOCS1, SOD1, SOX17, SOX2, SOX3, SOX4, SOX5, SOX6, SOX7, SOX9, SP1, SP100, SP110, SP7, SPARC, SPEN, SPI1, SPINK4, SPP1, SRD5A3, SREBF1, SRGN, ST3GAL4, STAR, STARD10, STAT1, STAT2, STAT3, STAT4, STAT6, STC1, STK10, STRA13, STRA6, STRA8, STT3A, SUMO1, SWT1, SYCP3, SYN1, SYNPO, T, TAC1, TAF4B, TAF6, TAL1, TAP1, TAX1BP1, TBX2, TCEB1, TERF1, TERT, TF, TFF2, TFRC, TGFB1, TGFB2, TGFB3, TGFBI, TGFBR1, TGFBR2, TGFBR3, TGM1, TGM2, THBD, THBS1, THRA, THSD4, TIA1, TIAL1, TIMM8A, TIMP1, TJP1, TK1, TLE1, TLR2, TLR3, TLR5, TLX2, TMEM150A, TMSB10/TMSB4X, TNC, TNF, TNFAIP2, TNFAIP3, TNFAIP6, TNFRSF10A, TNFRSF10B, TNFRSF11A, TNFRSF11B, TNFRSF19, TNFRSF1A, TNFRSF1B, TNFSF10, TNFSF11, TNIP1, TNP2, TOP2A, TOP2B, TOR1B, TP53, TP73, TPCN1, TPD52, TPI1A2M, TPI1, TPM4, TPP1, TPR, TPT1, TRA, TRH, TRIM22, TRMT13, TRPC3, TRPC4, TRPC6, TSC22D3, TSHB, TSPAN14, TSPAN33, TTC27, TUBB3, TUBGCP2, TUBGCP5, TYK2, TYROBP, TYSND1, UBA1, UBA7, UBE2C, UBE2D3, UBE2L6, UBE3A, UBXN8, UCP1, UCP2, UCP3, USF1, USP18, USP3, VASP, VAV1, VAV2, VCAM1, VCL, VDR, VEGFA, VEGFC, VGLL3, VIM, VIP, VMP1, VSIG4, VWF, WAS, WDR3, WIPF1, WNK1, WNT1, WNT10B, WNT2B, WNT3A, WNT6, WNT7B, WSB1, WT1, XAF1, XBP1, XK, XRCC1, XRCC5, XRCC6, YBX1, YPEL1, YWHAB, YWHAE, YWHAZ, ZBTB16, ZBTB17, ZBTB7A, ZEB2, ZFAND5, ZFAND6, ZFP42, ZNF133, ZNF146, ZNF217, ZNF436, ZNF536, ZNF566, ZP1, ZP2, ZP3, ZSCAN21A2M	1307.0	8.52075	induced
BCL6	transcription regulator	CHEK1, CHM, CIITA, COL1A1, COL2A1, CTLA4, CWC27, CXCL10, CXCR5, DNAJB11, DUSP6, EBI3, ENTPD1, EPB41L2, FAS, FCER2, FCGRT, FGF2, FMOD, FOXP3, FTH1, FUT7, GADD45A, GATA3, HAPLN1, IFNG, IGK, IL10, IL12A, IL13, IL13RA1, IL17A, IL18, IL21R, IL23A, IL24, IL2RA, IL2RB, IL4, IL4R, IL5, IL6, IL6R, IL7R, IL9, IRF4, IRF8, IRF9, ITGA3, JUNB, KLK1, LITAF, MAF, MCM3AP, MGP, MITF, MSH2, MYB, MYC, NFKB1, NOS2A2M, ACAN, AICDA, ALCAM, BACH2, BAX, BCL2, BCL2A1, BCL2L1, BCL3, BCL6, BLNK, CCL2, CCL3, CCND1, CCND2, CCR6, CCR7, CCR8, CD151, CD19, CD2, CD44, CD69, CD72, CD79B, CD80, CDKN1A, CDKN1B, CDKN2A, CDKN2AIP, SMC3, SOCS3, SOX5, SOX6, SOX9, STAT6, SYK, T, TBX21, TGFB1, TNFRSF14, TNFRSF18, TP53, TUBA3C/TUBA3D, XBP1A2M, PIK3CG, PLA2G2A, PRDM1, PTEN, PTPRO, RAD50, RGS4, RORC, SDC1, SERPINE1	116.0	-2.305	repressed
BDNF	growth factor	CHAT, CHGA, CHN2, CNR1, CP, CPLX2, CRMP1, CSPG4, CXCR4, CYGB, CYR61, DCTN1, DLG1, DNAJB5, DNAJC21, DPYSL3, DRD2, DRD3, DUSP1, DUSP4, DUSP6, EEF1D, EGR1, EGR2, ELOVL6, EPB41L2, EPO, FAM49A, FLNA, FLNB, FOS, FOSB, FRMD6, FSCN1, FTL, GAD1, GAD2, GAP43, GAS6, GDA, GFAP, GLUL, GNAI1, GNAO1, GNAQ, GPC4, GPS1, GRB14, GRIA1, GRIA2, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIP1, HADHA, HIST1H2AL, HIVEP1, HMGCR, HOMER1, HSD17B12, HSD17B4, HSP90AA1, HSPA2, HSPA4L, HSPA5, IFRD1, IL6, INHBB, ITGAM, ITIH3, ITPR1, JUN, KCNIP2, KIF1A, KIF1B, KIF21B, KIF5A, KLC1, KLF10, LAMB2, LAMC1, LAMP5, LCN2, LEP, LGALS1, LIMK1, LYPD1, MACROD1, MAG, MAN2A1, MAP1B, MAPK1, MAPK8IP3, MAPT, MBP, MMP1, MVD, MYCN, MYH3, MYH8, MYL4, MYO5A, MYO6, MYOD1, MYOG, NAB2, NAPB, NCAM1, NCDN, NECAB3, NELL2, NGFR, NMB, NOS1, NOS2, NPR1, NPY, NR4A1, NR4A3, NRXN1, NTF3, NTRK1, NTRK2FTL, NTRK2, OMG, P2RX3, P4HA1, PAFAH1B1, PALMD, PAX7, PCDH8, PCNA, PDE1A, PDLIM5, PENK, PER2, PFKFB3, PICK1, PLG, PLP1, PLTP, PLXNB2, PNOC, POMC, PPP1R1B, PREP, PRKAR1B, PRKCZ, PRSS12, PSEN1, PTBP1, PTEN, PTPN9, RAB14, RAB3A, REEP5, RELN, RGS4, RNH1, RPL13, RPL35A, RPL37A, RPRM, RPS23LYPD1, RPS23, RYR2, RYR3, S100A10, S100A9, SBK1, SCCPDH, SEMA3E, SERPINH1, SFR1, SFRP1, SFRP2, SH3BGRL2, SHH, SLC12A5, SLC16A7, SLC17A6, SLC17A7, SLC17A8, SLC1A2, SLC6A4, SNAP25, SOD2, SORL1, SOSTDC1, SPARC, SPP1, SPRED2, SPRY2, SST, STRN4, STXBP1, SYN1, SYN2, SYP, TAC1, TAGLN, TBC1D8, TFRC, TH, THRA, TIAM1, TIPARP, TM9SF2, TMBIM6, TMED2, TMEM45A, TNFRSF11B, TP53BP1, TPH1	215.0	5.366	induced
BMP2	growth factor	ACAN, ACP5, ACTA2, ADAMTS7, ALDH1A2, ALPP, AMH, ANAPC2, AOC1, ASCL1, ASGR1, ATF6, ATP2C2, BCL2, BCL2L1, BGLAP, BHLHE40, BMP2, BMP2K, BMP4, BMPR1A, BMPR2, BPIFB3, BSG, BTC, BTG3, CALB1, CALCA, CAMK4, CCND1, CDK4, CDKN1A, CDKN1B, CHRNA2, CLIC4, COL10A1, COL1A1, COL1A2, COL2A1, CPA1, CREB3L1, CRYM, CSF1, CTSK, CXCL12, CYP17A1, CYP19A1, DBH, DKK1, DLX2, DLX3, DLX5, DMP1, DSPP, EGF, EPHX2, ESRRG, EVC2, F3, FABP4, FGF2, FGF21, FGFR1, FGFR2, FN1, FOS, FOSB, FOXO1, FSHB, FST, FZD1, GADD45B, GDF9, GFAP, GFRA1, GREM1, HAMP, HAS2, HES5, HESX1, HEY1, IBSP, ID1, ID2, ID3, ID4, IFI16, IGFBP5, IHH, IL2, JUN, JUNBCHRNA2, JUNB, KLF10, KLF4, KLF9, KLK7, L1CAM, LHCGR, LRP5, MATN1, MC2R, MEF2C, MEN1, MEPE, MFI2, MMP13, MMP9, MRAS, MRE11A, MSX2, MYC, MYOG, NFAT5, NFYA, NFYB, NFYC, NKX2-5, NKX3-2, NOG, NOS3, NOTCH1, NPPA, NTRK3ACAN, SMAD1, SMAD4, SMAD6, SMAD7, SOST, SOSTDC1, SOX2, SOX6, SOX9, SP7, SPARC, SPINT1, SPP1, STAR, STK25, T, TAC1, TAGLN, TBC1D10A, TBX2, TG, TGM2, TH, TIMP1, TIMP3, TLX2, TMEM119, TNFRSF11B, TNFSF11, TNN, TNNI3, TNNT1, TOB1, TWSG1, VCAN, VDR, VEGFA, WDR5, WNT4, XBP1, ZBTB16, ZBTB2ACAN, PHOX2A, PITX2, PLXNA2, POSTN, POU5F1, PPARG, PTGS2, PTH1R, PTHLH, RAD1, RET, RGS6, RUNX2, RUNX3, SLC26A2	181.0	5.833499999999999	induced
BMP4	growth factor	CGA, CNN1, COCH, COL2A1, CSF3, CXXC5, CYR61, DEK, DLX2, DLX5, EGFR, EIF4A2, FGF8, FGFR2, FOXF1, FOXN1, GATA1, GATA2, GCM1, GJA1, GREM1, HAMP, HES1, HEY1, HMGA2, IBSP, ID1, ID2, ID3, IFNG, IL6, ITGA4, JUN, JUNB, KDR, KIT, KLF1, KLF10, KLF4, L1CAM, LEF1, LEFTY1, LEFTY2, MITF, MIXL1, MMP13, MMP14, MMP3, MSX1, MSX2, MYC, MYCN, NANOG, NCAM1, NES, NGFR, NODAL, NOG, NOS2MITF, NOS2, OVOL2, PAX2, PITX2, POSTN, POU5F1, PTCH1, PYCR2, RET, RUNX2, RUNX3, SALL3, SCARB1, SHH, SMAD1, SMAD5, SMAD6, SMAD7, SMAD9, SNAI1, SNAI2, SOX2, SOX9, SP7, SPARC, SPI1, SPINT1, STAR, STRA8, SULF1, T, TAGLN, TBX5, TDGF1, TGM2, TLX2, TNFRSF11B, TNFSF11, TP53, TP63ACAN, ACTA2, ACVR2A, ACVR2B, ALDH1A2, ASCL1, ASIP, BARX1, BCL2, BGLAP, BMP2, BMP4, CCL11, CCL19, CCND1, CCNG1, CDH1, CDK2, CDKN1A, CDKN2A, CDX2, TP63, TYR, VEGFA, WNT5A, ZFP42	124.0	4.0725	induced
BMP6	growth factor	ACADM, ACTA2, ADAMTS1, ADAMTS5, ADD3, ADGRL2, AKTIP, ALDH1A2, ARHGAP18, ARMCX3, BMP4, CD44, CDKN1A, CDKN2A, CDKN2C, CHD3, CTGF, CYP11A1, CYP11B1, CYP1B1, CYP39A1, DLX5, E2F1, E2F2, E2F3, E2F5, EPHX1, ERRFI1, ETV5, FOSL1, FRMD4B, FSHR, GDF3, GNB4, HAMP, HBEGF, HMOX1, IBSP, ID1, ID2, ID3, IL10, IL1A, IL6, INHBA, ITGA5CHD3, ITGA5, KLF4, MATN2, MBL2, MMP13, MYCN, MYH10, NOG	54.0	3.1265	induced
BMP7	growth factor	ACTA2, ACVR1, ADIPOQ, ADORA1, AKT1, ALDH1A2, AP2A1, ATOH1, ATP5A1, BGLAP, BIRC5, BMP4, BMP7, BMPR1A, BMPR2, CCL2, CD207, CD34, CDH1, CDKN1A, CEBPA, CEBPB, CEBPD, CIDEA, COL10A1, COL1A1, COL1A2, COX7A1, CRHR1, CXCL8, CYP19A1, DKK1, DLK1, DLX5, EDN1, EDN2, EPCAM, F3, FASN, FN1, FOXC2, GDF3, GJA1, GRB10, GRB14, GRB2, GREM1, HAMP, HRAS, IBSP, ICAM1, ID1, ID2, IGF1, IGF1R, IGF2, IGFBP3, IGFBP4, IGFBP5, IGFBP6, IL1B, IL6, IRS1CIDEA, IRS1, KLF4, MAP3K5, MAPK3, MMP13, MMP2, MSX2, MYO1C, NCAM1, NDRG1, NOG, NPHS1ACTA2, PIK3R1, POMC, PPARG, PPARGC1A, PPARGC1B, PRDM16, RNF111, RUNX2, S100A4, SERPINE1, SLC2A4, SMAD1, SMAD2, SMAD5, SMAD6, SMAD7, SOCS3, SOST, SOSTDC1, SP7, SPP1, STAR, STS, SULF1	99.0	2.6855	induced
BRCA1	transcription regulator	AK1, ANGPT1, ANXA8/ANXA8L1, APOBEC1, AR, AREG, ASCL2, ATM, ATP11C, ATRIP, BACH1, BAK1, BAX, BCKDHB, BCL2, BCL2L1, BIRC5, BRCA1, BRCA2, CAMK2B, CARD10, CASR, CCL5, CCNB1, CCNB2, CCND1, CCNE1, CCNG1, CDC25C, CDH3, CDKN1A, CDKN1B, COL18A1, CTNNB1, CTSD, CTSF, CYP19A1, CYP1A1, CYP1B1, DDB2, DDIT3, DDIT4, DDX58, DGKA, EGFR, EGR1, ELAVL1, ENPP2, EP300, ERCC3, ERCC5, ESR1, EXO1, EZR, FAS, FEN1, FHIT, FHL2, FKBP5, FXYD3, GADD45A, GADD45B, GDF15, GTF2H1, H2AFX, H3F3A/H3F3B, HBB, HMGA2, HMOX1, HNRNPD, HSD11B2, HSPB1, IFI27, IFI6, IFIT1, IFIT2, IFIT3, IFITM1, IFNAR1, IGF1R, IRF7, JAK1COL18A1, JAK1, KLK3, KRT17, KRT5, LAMA3, LHX1, LPIN1, MAD2L1, MATN4, MDM2, MLH1, MX1, MYC, NEDD9, NEK2, NFE2L2, NOS3, NQO1, NR3C1AK1, PHLDA1, PIN1, PLK1, PLSCR1, PLTP, POLR3E, POU2F1, RB1, RBL1, RBL2, ROBO1, RRM2B, RUVBL2, S100A2, SAFB, SAT1, SERPINE2, SFN, SFPQ, SIRT1, SMAD3, STAT1, STAT5A, STAT5B, STC1, T	127.0	3.0025	induced
BRD4	kinase	ABCC4, ABLIM1, ACSL5, ACSM3, ADAT2, ALDH1B1, AMPD1, ANKRD37, AURKB, BCL2, BCL2L1, BCL3, BDH1, BHLHE40, BTN3A2, CCND1, CCND2, CCR1, CD4, CDC25A, CDKN2B, CXCL2, CXCR4, CXCR5, DCPS, DCTPP1, DERL3, DMAP1, FADS1, FKBP11, FOS, FOSL2, GALNT14, GTF3C6, HBD, HMOX1, HS1BP3, ID2, IGLL1/IGLL5, IL2RA, IL7R, INSM1, IRF4, KAT2A, KAT5CXCL2, KAT5, KCNA3, KCNQ5, LCK, MAL, MANEAL, MAP4K1, MCL1, METAP1D, MLF2, MMACHC, MORC1, MTHFD1L, MTMR2, MYB, MYC, NAV1, NME1, NQO1GALNT14, NQO1, PIM1, PIM2, POLE2, POLR3G, PRDM1, PTPN22, RAI14, RNF125ABCC4, RNF125, RRS1, SELE, SFXN4, SLC16A9, SLC19A1, SLC38A5, SLC7A2, SMARCA4, SORD, SRM, STC2	85.0	4.5680000000000005	induced
